"time","infectedAmount","deadAmount","immunityAmount","deltaInfectedAmount"
7380,79,91,1399,0
7400,77,91,1401,-2
7420,75,91,1403,-2
7440,75,91,1403,0
7460,72,91,1406,-3
7480,71,91,1407,-1
7500,71,91,1407,0
7520,70,91,1408,-1
7540,70,91,1408,0
7560,70,91,1409,0
7580,71,91,1409,1
7600,69,91,1411,-2
7620,67,92,1413,-2
7640,68,92,1413,1
7660,68,92,1414,0
7680,68,92,1414,0
7700,68,92,1415,0
7720,69,92,1415,1
7740,68,92,1416,-1
7760,70,92,1416,2
7780,70,92,1416,0
7800,71,92,1416,1
7820,71,92,1417,0
7840,66,92,1422,-5
7860,65,92,1423,-1
7880,62,93,1425,-3
7900,63,93,1426,1
7920,61,93,1428,-2
7940,58,93,1431,-3
7960,59,93,1431,1
7980,59,93,1432,0
8000,58,93,1433,-1
8020,58,93,1435,0
8040,58,93,1436,0
8060,57,93,1438,-1
8080,57,93,1438,0
8100,57,93,1440,0
8120,58,93,1440,1
8140,57,93,1441,-1
8160,56,93,1442,-1
8180,52,93,1446,-4
8200,52,93,1446,0
8220,53,93,1446,1
8240,51,93,1448,-2
8260,51,93,1448,0
8280,49,93,1450,-2
8300,46,93,1453,-3
8320,43,93,1456,-3
8340,44,93,1456,1
8360,45,93,1456,1
8380,45,93,1456,0
8400,44,93,1457,-1
8420,44,93,1457,0
8440,44,93,1457,0
8460,43,93,1458,-1
8480,42,94,1458,-1
8500,40,94,1460,-2
8520,40,94,1460,0
8540,40,94,1460,0
8560,40,94,1460,0
8580,40,94,1460,0
8600,40,94,1462,0
8620,40,94,1462,0
8640,40,94,1462,0
8660,40,94,1462,0
8680,38,94,1464,-2
8700,35,94,1467,-3
8720,33,94,1469,-2
8740,32,94,1470,-1
8760,31,94,1471,-1
8780,31,94,1471,0
8800,30,94,1472,-1
8820,30,94,1472,0
8840,28,94,1474,-2
8860,28,94,1474,0
8880,27,94,1475,-1
8900,27,94,1475,0
8920,27,94,1475,0
8940,27,94,1475,0
8960,27,94,1475,0
8980,27,94,1475,0
9000,27,94,1475,0
9020,27,94,1475,0
9040,27,94,1475,0
9060,26,94,1476,-1
9080,25,94,1477,-1
9100,25,94,1477,0
9120,24,94,1478,-1
9140,24,94,1479,0
9160,23,94,1480,-1
9180,23,94,1480,0
9200,22,94,1481,-1
9220,22,94,1482,0
9240,22,94,1482,0
9260,20,94,1484,-2
9280,20,94,1484,0
9300,19,94,1485,-1
9320,19,94,1486,0
9340,19,94,1486,0
9360,19,94,1486,0
9380,20,94,1486,1
9400,19,94,1487,-1
9420,18,94,1488,-1
9440,18,94,1488,0
9460,17,94,1489,-1
9480,16,94,1490,-1
9500,16,94,1490,0
9520,15,94,1491,-1
9540,13,94,1493,-2
9560,13,94,1493,0
9580,13,94,1494,0
9600,11,94,1496,-2
9620,10,94,1497,-1
9640,10,94,1497,0
9660,10,94,1497,0
9680,10,94,1497,0
9700,10,94,1497,0
9720,10,94,1498,0
9740,10,94,1498,0
9760,10,94,1498,0
9780,11,94,1498,1
9800,11,94,1498,0
9820,11,94,1498,0
9840,10,95,1498,-1
9860,9,95,1499,-1
9880,9,95,1499,0
9900,9,95,1499,0
9920,9,95,1499,0
9940,9,95,1499,0
9960,9,95,1499,0
9980,9,95,1499,0
10000,9,95,1499,0
10020,9,95,1499,0
10040,9,95,1499,0
10060,9,95,1499,0
10080,9,95,1499,0
10100,7,95,1501,-2
10120,7,95,1501,0
10140,7,95,1501,0
10160,7,95,1501,0
10180,7,95,1501,0
10200,7,95,1501,0
10220,7,95,1501,0
10240,10,95,1501,3
10260,10,95,1501,0
10280,10,95,1501,0
10300,11,95,1501,1
10320,11,95,1501,0
10340,11,95,1501,0
10360,11,95,1501,0
10380,11,95,1501,0
10400,11,95,1501,0
10420,11,95,1501,0
10440,11,95,1501,0
10460,11,95,1501,0
10480,11,95,1501,0
10500,11,95,1501,0
10520,11,95,1501,0
10540,11,95,1501,0
10560,11,95,1501,0
10580,11,95,1501,0
10600,11,95,1501,0
10620,11,95,1501,0
10640,10,95,1502,-1
10660,10,95,1502,0
10680,10,95,1502,0
10700,10,95,1502,0
10720,9,95,1503,-1
10740,9,95,1503,0
10760,9,95,1503,0
10780,9,95,1503,0
10800,9,95,1503,0
10820,8,95,1504,-1
10840,8,95,1504,0
10860,8,95,1504,0
10880,7,95,1505,-1
10900,7,95,1505,0
10920,7,95,1505,0
10940,7,95,1505,0
10960,7,95,1505,0
10980,7,95,1505,0
11000,8,95,1505,1
11020,8,95,1505,0
11040,8,95,1505,0
11060,8,95,1505,0
11080,7,95,1506,-1
11100,7,95,1506,0
11120,7,95,1506,0
11140,7,95,1506,0
11160,7,95,1506,0
11180,7,95,1506,0
11200,7,95,1506,0
11220,6,95,1507,-1
11240,7,95,1507,1
11260,7,95,1507,0
11280,6,95,1508,-1
11300,6,95,1508,0
11320,6,95,1508,0
11340,6,95,1508,0
11360,6,95,1508,0
11380,6,95,1508,0
11400,6,95,1508,0
11420,6,95,1508,0
11440,6,95,1508,0
11460,6,95,1508,0
11480,6,95,1508,0
11500,6,95,1508,0
11520,6,95,1508,0
11540,6,95,1508,0
11560,6,95,1508,0
11580,6,95,1508,0
11600,6,95,1508,0
11620,6,95,1508,0
11640,6,95,1508,0
11660,6,95,1508,0
11680,6,95,1508,0
11700,6,95,1508,0
11720,6,95,1508,0
11740,3,95,1511,-3
11760,3,95,1511,0
11780,3,95,1511,0
11800,2,95,1512,-1
11820,2,95,1512,0
11840,2,95,1512,0
11860,2,95,1512,0
11880,2,95,1512,0
11900,2,95,1512,0
11920,2,95,1512,0
11940,2,95,1512,0
11960,2,95,1512,0
11980,2,95,1512,0
12000,2,95,1512,0
12020,2,95,1512,0
12040,2,95,1512,0
12060,2,95,1512,0
12080,2,95,1512,0
12100,2,95,1512,0
12120,2,95,1512,0
12140,2,95,1512,0
12160,2,95,1512,0
12180,2,95,1512,0
12200,2,95,1512,0
12220,2,95,1512,0
12240,2,95,1512,0
12260,2,95,1512,0
12280,2,95,1512,0
12300,2,95,1512,0
12320,2,95,1512,0
12340,2,95,1512,0
12360,2,95,1512,0
12380,2,95,1512,0
12400,2,95,1512,0
12420,2,95,1512,0
12440,2,95,1512,0
12460,2,95,1512,0
12480,2,95,1512,0
12500,1,95,1513,-1
12520,1,95,1513,0
12540,1,95,1513,0
12560,1,95,1513,0
12580,1,95,1513,0
12600,1,95,1513,0
12620,1,95,1513,0
12640,1,95,1513,0
12660,1,95,1513,0
12680,1,95,1513,0
12700,1,95,1513,0
12720,1,95,1513,0
